location,threshold_hours,reserve_fraction,forecast_error_std,coldstart_count,lost_production_hours,methane_output_kwh,bess_deep_discharge,curtailed_kwh,reactor_warm_fraction_pct,reserve_active_hours
sevilla,36,0.25,0.2,15,177,440046.55442177295,32,3.9623852570430955,45.02283105022831,552
sevilla,36,0.3,0.2,13,152,440102.75609186204,29,19.09153229667779,45.114155251141554,613
sevilla,36,0.4,0.2,4,40,442813.86518421373,10,0.0,45.742009132420094,641
sevilla,48,0.1,0.2,25,324,436684.87824149046,38,3.0507422539958995,44.44063926940639,377
sevilla,48,0.15,0.2,23,283,437041.715968962,37,9.258465087838282,44.554794520547944,434
sevilla,48,0.2,0.2,24,266,436506.4862558113,38,14.163178103749814,44.509132420091326,536
sevilla,48,0.25,0.2,15,177,440046.55442177295,32,3.9623852570430955,45.02283105022831,552
sevilla,48,0.3,0.2,13,152,440102.75609186204,29,19.09153229667779,45.114155251141554,613
sevilla,48,0.4,0.2,4,40,442813.86518421373,10,0.0,45.742009132420094,641
sevilla,72,0.1,0.2,25,324,436684.87824149046,38,3.0507422539958995,44.44063926940639,377
sevilla,72,0.15,0.2,23,283,437041.715968962,37,9.258465087838282,44.554794520547944,434
sevilla,72,0.2,0.2,24,266,436506.4862558113,38,14.163178103749814,44.509132420091326,536
sevilla,72,0.25,0.2,15,177,440046.55442177295,32,3.9623852570430955,45.02283105022831,552
sevilla,72,0.3,0.2,13,152,440102.75609186204,29,19.09153229667779,45.114155251141554,613
sevilla,72,0.4,0.2,4,40,442813.86518421373,10,0.0,45.742009132420094,641
sevilla,12,0.1,0.4,24,336,437378.4315245861,38,14.758185757074372,44.49771689497717,321
sevilla,12,0.15,0.4,22,305,437622.0233823421,32,5.689538851021126,44.577625570776256,398
sevilla,12,0.2,0.4,23,293,436357.4151755301,34,2.0145112001842307,44.509132420091326,458
sevilla,12,0.25,0.4,19,238,438211.49760006584,33,0.21428082556562345,44.74885844748858,490
sevilla,12,0.3,0.4,17,207,438554.8477427985,30,10.201708533991749,44.88584474885845,567
sevilla,12,0.4,0.4,9,100,440777.9627456963,17,0.0,45.422374429223744,605
sevilla,24,0.1,0.4,24,336,437378.4315245861,38,14.758185757074372,44.49771689497717,321
sevilla,24,0.15,0.4,22,305,437622.0233823421,32,5.689538851021126,44.577625570776256,398
sevilla,24,0.2,0.4,23,293,436357.4151755301,34,2.0145112001842307,44.509132420091326,459
sevilla,24,0.25,0.4,19,238,438211.49760006584,33,0.21428082556562345,44.74885844748858,490
sevilla,24,0.3,0.4,17,207,438554.8477427985,30,10.201708533991749,44.88584474885845,568
sevilla,24,0.4,0.4,9,100,440777.9627456963,17,0.0,45.422374429223744,605
sevilla,36,0.1,0.4,24,336,437378.4315245861,38,14.758185757074372,44.49771689497717,321
sevilla,36,0.15,0.4,22,305,437622.0233823421,32,5.689538851021126,44.577625570776256,398
sevilla,36,0.2,0.4,23,293,436357.4151755301,34,2.0145112001842307,44.509132420091326,459
sevilla,36,0.25,0.4,19,238,438211.49760006584,33,0.21428082556562345,44.74885844748858,490
sevilla,36,0.3,0.4,17,207,438554.8477427985,30,10.201708533991749,44.88584474885845,568
sevilla,36,0.4,0.4,9,100,440777.9627456963,17,0.0,45.422374429223744,605
sevilla,48,0.1,0.4,24,336,437378.4315245861,38,14.758185757074372,44.49771689497717,321
sevilla,48,0.15,0.4,22,305,437622.0233823421,32,5.689538851021126,44.577625570776256,398
sevilla,48,0.2,0.4,23,293,436357.4151755301,34,2.0145112001842307,44.509132420091326,459
sevilla,48,0.25,0.4,19,238,438211.49760006584,33,0.21428082556562345,44.74885844748858,490
sevilla,48,0.3,0.4,17,207,438554.8477427985,30,10.201708533991749,44.88584474885845,568
sevilla,48,0.4,0.4,9,100,440777.9627456963,17,0.0,45.422374429223744,605
sevilla,72,0.1,0.4,24,336,437378.4315245861,38,14.758185757074372,44.49771689497717,321
sevilla,72,0.15,0.4,22,305,437622.0233823421,32,5.689538851021126,44.577625570776256,398
sevilla,72,0.2,0.4,23,293,436357.4151755301,34,2.0145112001842307,44.509132420091326,459
sevilla,72,0.25,0.4,19,238,438211.49760006584,33,0.21428082556562345,44.74885844748858,490
sevilla,72,0.3,0.4,17,207,438554.8477427985,30,10.201708533991749,44.88584474885845,568
sevilla,72,0.4,0.4,9,100,440777.9627456963,17,0.0,45.422374429223744,605
morocco,12,0.1,0.0,0,0,488186.1281162812,0,0.0,46.57534246575342,22
morocco,12,0.15,0.0,0,0,488134.72277389036,0,0.0,46.57534246575342,40
morocco,12,0.2,0.0,0,0,488049.2258899243,0,0.0,46.57534246575342,58
morocco,12,0.25,0.0,0,0,487937.5601896278,0,0.0,46.57534246575342,64
morocco,12,0.3,0.0,0,0,487792.52316685684,0,0.0,46.57534246575342,93
morocco,12,0.4,0.0,0,0,487557.41578964394,0,0.0,46.57534246575342,130
morocco,24,0.1,0.0,0,0,488186.1281162812,0,0.0,46.57534246575342,20
morocco,24,0.15,0.0,0,0,488169.13994669286,0,0.0,46.57534246575342,36
morocco,24,0.2,0.0,0,0,488070.4910226302,0,0.0,46.57534246575342,41
morocco,24,0.25,0.0,0,0,488012.0550449982,0,0.0,46.57534246575342,50
morocco,24,0.3,0.0,0,0,487940.0136514589,0,0.0,46.57534246575342,73
morocco,24,0.4,0.0,0,0,487616.63036524743,0,0.0,46.57534246575342,115
morocco,36,0.1,0.0,0,0,488186.1281162812,0,0.0,46.57534246575342,20
morocco,36,0.15,0.0,0,0,488169.13994669286,0,0.0,46.57534246575342,36
morocco,36,0.2,0.0,0,0,488070.4910226302,0,0.0,46.57534246575342,41
morocco,36,0.25,0.0,0,0,488012.0550449982,0,0.0,46.57534246575342,50
morocco,36,0.3,0.0,0,0,487940.0136514589,0,0.0,46.57534246575342,73
morocco,36,0.4,0.0,0,0,487616.63036524743,0,0.0,46.57534246575342,115
morocco,48,0.1,0.0,0,0,488186.1281162812,0,0.0,46.57534246575342,20
morocco,48,0.15,0.0,0,0,488169.13994669286,0,0.0,46.57534246575342,36
morocco,48,0.2,0.0,0,0,488070.4910226302,0,0.0,46.57534246575342,41
morocco,48,0.25,0.0,0,0,488012.0550449982,0,0.0,46.57534246575342,50
morocco,48,0.3,0.0,0,0,487940.0136514589,0,0.0,46.57534246575342,73
morocco,48,0.4,0.0,0,0,487616.63036524743,0,0.0,46.57534246575342,115
morocco,72,0.1,0.0,0,0,488186.1281162812,0,0.0,46.57534246575342,20
morocco,72,0.15,0.0,0,0,488169.13994669286,0,0.0,46.57534246575342,36
morocco,72,0.2,0.0,0,0,488070.4910226302,0,0.0,46.57534246575342,41
morocco,72,0.25,0.0,0,0,488012.0550449982,0,0.0,46.57534246575342,50
morocco,72,0.3,0.0,0,0,487940.0136514589,0,0.0,46.57534246575342,73
morocco,72,0.4,0.0,0,0,487616.63036524743,0,0.0,46.57534246575342,115
morocco,12,0.1,0.1,0,0,488100.63123231527,0,0.0,46.57534246575342,8
morocco,12,0.15,0.1,0,0,488049.2258899243,0,0.0,46.57534246575342,18
morocco,12,0.2,0.1,0,0,488049.2258899243,0,0.0,46.57534246575342,26
morocco,12,0.25,0.1,0,0,487972.7191995461,0,0.0,46.57534246575342,38
morocco,12,0.3,0.1,0,0,487688.4216334581,0,0.0,46.57534246575342,56
morocco,12,0.4,0.1,0,0,487579.3925859645,0,0.0,46.57534246575342,82
morocco,24,0.1,0.1,0,0,488100.63123231527,0,0.0,46.57534246575342,8
morocco,24,0.15,0.1,0,0,488049.2258899243,0,0.0,46.57534246575342,18
morocco,24,0.2,0.1,0,0,488049.2258899243,0,0.0,46.57534246575342,26
morocco,24,0.25,0.1,0,0,487972.7191995461,0,0.0,46.57534246575342,38
morocco,24,0.3,0.1,0,0,487688.4216334581,0,0.0,46.57534246575342,56
