location,threshold_hours,reserve_fraction,forecast_error_std,coldstart_count,lost_production_hours,methane_output_kwh,bess_deep_discharge,curtailed_kwh,reactor_warm_fraction_pct,reserve_active_hours
scotland,12,0.2,0.2,190,3109,202294.80013118798,267,138.35333073330492,30.525114155251142,4193
scotland,12,0.25,0.2,169,2706,213592.30589270804,225,183.658559250447,32.294520547945204,4114
scotland,12,0.3,0.2,153,2507,218379.80763915472,206,60.954435836583094,33.230593607305934,4170
scotland,12,0.4,0.2,130,2170,220855.6732168871,170,76.08073126730162,34.30365296803653,4347
scotland,24,0.1,0.2,218,3679,197185.0285705345,272,178.28618708827244,28.82420091324201,3734
scotland,24,0.15,0.2,205,3404,199599.91203351165,275,116.43631620097223,29.62328767123288,4060
scotland,24,0.2,0.2,191,3094,202174.78672776942,264,157.20116544209395,30.502283105022833,4200
scotland,24,0.25,0.2,168,2700,213280.339666132,227,155.20328433393206,32.24885844748858,4132
scotland,24,0.3,0.2,151,2479,218238.2721345568,206,64.09299178911436,33.33333333333333,4171
scotland,24,0.4,0.2,124,2088,221807.8758503506,158,67.95173046615312,34.73744292237443,4316
scotland,36,0.1,0.2,218,3679,197185.0285705345,272,178.28618708827244,28.82420091324201,3734
scotland,36,0.15,0.2,205,3404,199599.91203351165,275,116.43631620097223,29.62328767123288,4060
scotland,36,0.2,0.2,191,3094,202174.78672776942,264,157.20116544209395,30.502283105022833,4200
scotland,36,0.25,0.2,168,2700,213280.339666132,227,155.20328433393206,32.24885844748858,4132
scotland,36,0.3,0.2,151,2479,218238.2721345568,206,64.09299178911436,33.33333333333333,4171
scotland,36,0.4,0.2,124,2088,221807.8758503506,158,67.95173046615312,34.73744292237443,4316
scotland,48,0.1,0.2,218,3679,197185.0285705345,272,178.28618708827244,28.82420091324201,3735
scotland,48,0.15,0.2,205,3404,199599.91203351165,275,116.43631620097223,29.62328767123288,4060
scotland,48,0.2,0.2,191,3094,202174.78672776942,264,157.20116544209395,30.502283105022833,4200
scotland,48,0.25,0.2,168,2700,213280.339666132,227,155.20328433393206,32.24885844748858,4132
scotland,48,0.3,0.2,151,2479,218238.2721345568,206,64.09299178911436,33.33333333333333,4171
scotland,48,0.4,0.2,124,2088,221807.8758503506,158,67.95173046615312,34.73744292237443,4316
scotland,72,0.1,0.2,218,3679,197185.0285705345,272,178.28618708827244,28.82420091324201,3735
scotland,72,0.15,0.2,205,3404,199599.91203351165,275,116.43631620097223,29.62328767123288,4060
scotland,72,0.2,0.2,191,3094,202174.78672776942,264,157.20116544209395,30.502283105022833,4200
scotland,72,0.25,0.2,168,2700,213280.339666132,227,155.20328433393206,32.24885844748858,4132
scotland,72,0.3,0.2,151,2479,218238.2721345568,206,64.09299178911436,33.33333333333333,4171
scotland,72,0.4,0.2,124,2088,221807.8758503506,158,67.95173046615312,34.73744292237443,4316
scotland,12,0.1,0.4,214,3513,197220.63833936508,271,197.44579789482077,29.292237442922374,2980
scotland,12,0.15,0.4,194,3224,203531.57139197015,249,132.11143193617164,30.433789954337897,3298
scotland,12,0.2,0.4,183,2957,205390.387232512,250,118.55445317667929,31.152968036529682,3508
scotland,12,0.25,0.4,165,2704,214355.90667724432,227,128.67535515949302,32.37442922374429,3652
scotland,12,0.3,0.4,142,2415,219374.1337576863,205,93.1707287176112,33.68721461187214,3712
scotland,12,0.4,0.4,114,2046,225023.06271673212,151,104.55613319195588,35.15981735159817,3880
scotland,24,0.1,0.4,213,3513,197220.63833936508,269,196.7001799776563,29.30365296803653,2980
scotland,24,0.15,0.4,194,3224,203531.57139197015,249,132.11143193617164,30.433789954337897,3300
scotland,24,0.2,0.4,183,2956,205243.35165707328,250,109.5449732109994,31.164383561643838,3514
scotland,24,0.25,0.4,165,2704,214355.90667724432,227,128.67535515949302,32.37442922374429,3653
scotland,24,0.3,0.4,142,2412,219374.1337576863,206,104.78523479882944,33.68721461187214,3714
scotland,24,0.4,0.4,114,2043,225023.06271673212,152,100.79601048973906,35.15981735159817,3881
scotland,36,0.1,0.4,213,3513,197220.63833936508,269,196.7001799776563,29.30365296803653,2980
scotland,36,0.15,0.4,194,3224,203531.57139197015,249,132.11143193617164,30.433789954337897,3300
scotland,36,0.2,0.4,183,2956,205243.35165707328,250,109.5449732109994,31.164383561643838,3514
scotland,36,0.25,0.4,165,2704,214355.90667724432,227,128.67535515949302,32.37442922374429,3653
scotland,36,0.3,0.4,142,2412,219374.1337576863,206,104.78523479882944,33.68721461187214,3714
scotland,36,0.4,0.4,114,2043,225023.06271673212,152,100.79601048973906,35.15981735159817,3881
scotland,48,0.1,0.4,213,3513,197220.63833936508,269,196.7001799776563,29.30365296803653,2980
scotland,48,0.15,0.4,194,3224,203531.57139197015,249,132.11143193617164,30.433789954337897,3300
scotland,48,0.2,0.4,183,2956,205243.35165707328,250,109.5449732109994,31.164383561643838,3514
scotland,48,0.25,0.4,165,2704,214355.90667724432,227,128.67535515949302,32.37442922374429,3653
scotland,48,0.3,0.4,142,2412,219374.1337576863,206,104.78523479882944,33.68721461187214,3714
scotland,48,0.4,0.4,114,2043,225023.06271673212,152,100.79601048973906,35.15981735159817,3881
scotland,72,0.1,0.4,213,3513,197220.63833936508,269,196.7001799776563,29.30365296803653,2980
scotland,72,0.15,0.4,194,3224,203531.57139197015,249,132.11143193617164,30.433789954337897,3300
scotland,72,0.2,0.4,183,2956,205243.35165707328,250,109.5449732109994,31.164383561643838,3514
scotland,72,0.25,0.4,165,2704,214355.90667724432,227,128.67535515949302,32.37442922374429,3653
scotland,72,0.3,0.4,142,2412,219374.1337576863,206,104.78523479882944,33.68721461187214,3714
scotland,72,0.4,0.4,114,2043,225023.06271673212,152,100.79601048973906,35.15981735159817,3881
